FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                      , Base_HIP-default                  ,         , Base_HIP-block_256                ,         , Base_HIP-blkatm_direct_256        ,         , Base_HIP-blkatm_occgs_256         ,         , Base_HIP-atomic_direct_256        ,         , Base_HIP-atomic_occgs_256         ,         , Base_HIP-blkhst_direct_256        ,         , Base_HIP-blkhst_occgs_256         ,         , Base_HIP-block_64                 ,         , Base_HIP-block_25                 ,         , Base_HIP-rocprim                  ,         , Base_HIP-library                  ,         , Base_HIP-replicate_4096_global_256,         , Base_HIP-replicate_4096_warp_256  ,         , Base_HIP-replicate_4096_block_256 ,         , RAJA_HIP-default                  ,         , RAJA_HIP-block_256                ,         , RAJA_HIP-blkatm_direct_256        ,         , RAJA_HIP-blkdev_direct_256        ,         , RAJA_HIP-blkdev_direct_new_256    ,         , RAJA_HIP-blkatm_occgs_256         ,         , RAJA_HIP-blkdev_occgs_256         ,         , RAJA_HIP-blkdev_occgs_new_256     ,         , RAJA_HIP-atomic_direct_256        ,         , RAJA_HIP-atomic_occgs_256         ,         , RAJA_HIP-block_64                 ,         , RAJA_HIP-block_25                 ,         , RAJA_HIP-rocprim                  ,         , RAJA_HIP-library                  ,         , RAJA_HIP-replicate_4096_global_256,        
Basic_MAT_MAT_SHARED        , 0                                 ,         , 0                                 ,base_ref , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , -0.0036                           ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Basic_MULADDSUB             , 0                                 ,         , 0                                 ,base_ref , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0.0018                            ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Basic_NESTED_INIT           , 0                                 ,         , 0                                 ,base_ref , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0.014                             ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Basic_PI_ATOMIC             , 0                                 ,         , 0                                 ,base_ref , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , -0.001                            ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Basic_PI_REDUCE             , 0                                 ,         , 0                                 ,         , 0                                 ,base_ref , -0.7                              ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , -0.8                              ,         , -0.71                             ,         , 1.6                               ,OVER_TOL , -0.89                             ,         , -0.87                             ,         , -0.65                             ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Basic_REDUCE3_INT           , 0                                 ,         , 0                                 ,         , 0                                 ,base_ref , -0.85                             ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , -0.88                             ,         , -0.77                             ,         , 1.9                               ,OVER_TOL , -0.95                             ,         , -0.94                             ,         , -0.68                             ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Basic_REDUCE_STRUCT         , 0                                 ,         , 0                                 ,         , 0                                 ,base_ref , -0.95                             ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , -0.95                             ,         , -0.94                             ,         , -0.21                             ,         , -0.98                             ,         , -0.98                             ,         , -0.91                             ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Basic_TRAP_INT              , 0                                 ,         , 0                                 ,         , 0                                 ,base_ref , -0.71                             ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , -0.77                             ,         , -0.7                              ,         , 1.6                               ,OVER_TOL , -0.86                             ,         , -0.85                             ,         , -0.64                             ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Basic_MULTI_REDUCE          , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,base_ref , 0.58                              ,OVER_TOL , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0.033                             ,         , 0.011                             ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Lcals_DIFF_PREDICT          , 0                                 ,         , 0                                 ,base_ref , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , -0.009                            ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
