Kernels run without MPI
Kernels                      ,    Problem size ,    Reps ,    Iterations/rep , Kernels/rep ,      Bytes/rep ,       FLOPS/rep ,    BytesRead/rep ,    BytesWritten/rep ,    BytesAtomicModifyWritten/rep
Basic_ARRAY_OF_PTRS          ,        33554432 ,       1 ,          33554432 ,           1 ,     7247757312 ,       872415232 ,       6979321856 ,           268435456 ,                               0
Basic_COPY8                  ,        33554432 ,       1 ,          33554432 ,           1 ,     4294967296 ,               0 ,       2147483648 ,          2147483648 ,                               0
Basic_DAXPY                  ,        33554432 ,       1 ,          33554432 ,           1 ,      805306368 ,        67108864 ,        536870912 ,           268435456 ,                               0
Basic_DAXPY_ATOMIC           ,        33554432 ,       1 ,          33554432 ,           1 ,      805306368 ,        67108864 ,        268435456 ,                   0 ,                       268435456
Basic_IF_QUAD                ,        33554432 ,       1 ,          33554432 ,           1 ,     1342177280 ,       369098752 ,        805306368 ,           536870912 ,                               0
Basic_INDEXLIST              ,        33554432 ,       1 ,          33554432 ,           1 ,      335544336 ,               0 ,        268435464 ,            67108872 ,                               0
Basic_INDEXLIST_3LOOP        ,        33554432 ,       1 ,         100663297 ,           3 ,     1409286186 ,               0 ,        805306392 ,           603979794 ,                               0
Basic_INIT3                  ,        33554432 ,       1 ,          33554432 ,           1 ,     1342177280 ,        33554432 ,        536870912 ,           805306368 ,                               0
Basic_INIT_VIEW1D            ,        33554432 ,       1 ,          33554432 ,           1 ,      268435456 ,        33554432 ,                0 ,           268435456 ,                               0
Basic_INIT_VIEW1D_OFFSET     ,        33554432 ,       1 ,          33554432 ,           1 ,      268435456 ,        33554432 ,                0 ,           268435456 ,                               0
Basic_MAT_MAT_SHARED         ,        33558849 ,       1 ,          33558849 ,           1 ,      805412376 ,    391840948224 ,        536941584 ,           268470792 ,                               0
Basic_MULADDSUB              ,        33554432 ,       1 ,          33554432 ,           1 ,     1342177280 ,       100663296 ,        536870912 ,           805306368 ,                               0
Basic_NESTED_INIT            ,        33386248 ,       1 ,          33386248 ,           1 ,      267089984 ,       100158744 ,                0 ,           267089984 ,                               0
Basic_PI_ATOMIC              ,        33554432 ,       1 ,          33554432 ,           1 ,             16 ,       201326593 ,                0 ,                   0 ,                               8
Basic_PI_REDUCE              ,        33554432 ,       1 ,          33554432 ,           1 ,             16 ,       201326593 ,                8 ,                   8 ,                               0
Basic_REDUCE3_INT            ,        33554432 ,       1 ,          33554432 ,           1 ,      134217752 ,        33554433 ,        134217740 ,                  12 ,                               0
Basic_REDUCE_STRUCT          ,        33554432 ,       1 ,          33554432 ,           1 ,      536871008 ,        67108866 ,        536870960 ,                  48 ,                               0
Basic_TRAP_INT               ,        33554432 ,       1 ,          33554432 ,           1 ,             16 ,       335544320 ,                8 ,                   8 ,                               0
Basic_MULTI_REDUCE           ,        33554432 ,       1 ,          33554432 ,           1 ,      536871072 ,        33554432 ,        536870992 ,                  80 ,                               0
Lcals_DIFF_PREDICT           ,        33554432 ,       1 ,          33554432 ,           1 ,     5368709120 ,       301989888 ,       2684354560 ,          2684354560 ,                               0
Lcals_EOS                    ,        33554432 ,       1 ,          33554432 ,           1 ,     1073741880 ,       536870912 ,        805306424 ,           268435456 ,                               0
Lcals_FIRST_DIFF             ,        33554432 ,       1 ,          33554432 ,           1 ,      536870920 ,        33554432 ,        268435464 ,           268435456 ,                               0
Lcals_FIRST_MIN              ,        33554432 ,       1 ,          33554432 ,           1 ,      268435488 ,               0 ,        268435472 ,                  16 ,                               0
Lcals_FIRST_SUM              ,        33554432 ,       1 ,          33554432 ,           1 ,      536870904 ,        33554431 ,        268435448 ,           268435456 ,                               0
Lcals_GEN_LIN_RECUR          ,        33554432 ,       1 ,          33554432 ,           2 ,     2684354560 ,       201326592 ,       1610612736 ,          1073741824 ,                               0
Lcals_HYDRO_1D               ,        33554432 ,       1 ,          33554432 ,           1 ,      805306376 ,       167772160 ,        536870920 ,           268435456 ,                               0
Lcals_HYDRO_2D               ,        33554432 ,       1 ,         100663296 ,           3 ,     4830620816 ,      1475569964 ,       3220908128 ,          1609712688 ,                               0
Lcals_INT_PREDICT            ,        33554432 ,       1 ,          33554432 ,           1 ,     2952790016 ,       570425344 ,       2684354560 ,           268435456 ,                               0
Lcals_PLANCKIAN              ,        33554432 ,       1 ,          33554432 ,           1 ,     1342177280 ,       134217728 ,        805306368 ,           536870912 ,                               0
Lcals_TRIDIAG_ELIM           ,        33554432 ,       1 ,          33554432 ,           1 ,     1073741824 ,        67108862 ,        805306368 ,           268435456 ,                               0
Polybench_2MM                ,        33558849 ,       1 ,          67117698 ,           2 ,     1675242912 ,   1042002261450 ,       1138301328 ,           536941584 ,                               0
Polybench_3MM                ,        33558849 ,       1 ,         100676547 ,           3 ,     2528853048 ,   1247986476612 ,       1723440672 ,           805412376 ,                               0
Polybench_ADI                ,        33558849 ,       1 ,             46344 ,           8 ,    12891047040 ,      4564003464 ,       6445523520 ,          6445523520 ,                               0
Polybench_ATAX               ,        33558849 ,       1 ,             11586 ,           2 ,      537173304 ,       134235396 ,        537034272 ,              139032 ,                               0
Polybench_FDTD_2D            ,        33564642 ,       1 ,        4027757080 ,         160 ,   107408709440 ,     14767283880 ,      75186652800 ,         32222056640 ,                               0
Polybench_FLOYD_WARSHALL     ,        33558849 ,       1 ,          33558849 ,           1 ,      536941584 ,    194406412257 ,        268470792 ,           268470792 ,                               0
Polybench_GEMM               ,        33558849 ,       1 ,          33558849 ,           1 ,      912745080 ,    699836237046 ,        644274288 ,           268470792 ,                               0
Polybench_GEMVER             ,        33558849 ,       1 ,         100682340 ,           4 ,     1074485640 ,       335594283 ,        805875816 ,           268609824 ,                               0
Polybench_GESUMMV            ,        33558849 ,       1 ,              5793 ,           1 ,      537034272 ,       134252775 ,        536987928 ,               46344 ,                               0
Polybench_HEAT_3D            ,        33386248 ,       1 ,        1335449920 ,          40 ,    21566272000 ,     20031748800 ,      10882672640 ,         10683599360 ,                               0
Polybench_JACOBI_1D          ,        33554432 ,       1 ,        1073741824 ,          32 ,    17179869696 ,      3221225472 ,       8589935104 ,          8589934592 ,                               0
Polybench_JACOBI_2D          ,        33558849 ,       1 ,        2684707920 ,           2 ,    42970156800 ,     13423539600 ,      21492493440 ,         21477663360 ,                               0
Polybench_MVT                ,        33558849 ,       1 ,             11586 ,           2 ,      537219648 ,       134235396 ,        537126960 ,               92688 ,                               0
Stream_ADD                   ,        33554432 ,       1 ,          33554432 ,           1 ,      805306368 ,        33554432 ,        536870912 ,           268435456 ,                               0
Stream_COPY                  ,        33554432 ,       1 ,          33554432 ,           1 ,      536870912 ,               0 ,        268435456 ,           268435456 ,                               0
Stream_DOT                   ,        33554432 ,       1 ,          33554432 ,           1 ,      536870928 ,        67108864 ,        536870920 ,                   8 ,                               0
